codigo_procedimento_sigtap;codigo_sha;ds_sha_pt
101010010;HC.6.1 ;Programas de Informação, educação e aconselhamento
101010028;HC.6.1 ;Programas de Informação, educação e aconselhamento
101010036;HC.6.1 ;Programas de Informação, educação e aconselhamento
101010044;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101010052;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101010060;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101010079;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101010087;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101020015;HC.6.5 ;Programas de controle de vigilância epidemiológica e de risco e doença
101020023;HC.6.5 ;Programas de controle de vigilância epidemiológica e de risco e doença
101020031;HC.6.5 ;Programas de controle de vigilância epidemiológica e de risco e doença
101020040;HC.6.5 ;Programas de controle de vigilância epidemiológica e de risco e doença
101020058;HC.1.3.2 ;Atenção ambulatorial saude bucal
101020066;HC.1.3.2 ;Atenção ambulatorial saude bucal
101020074;HC.1.3.2 ;Atenção ambulatorial saude bucal
101020082;HC.1.3.2 ;Atenção ambulatorial saude bucal
101020090;HC.1.3.2 ;Atenção ambulatorial saude bucal
101030010;HC.1.4 ;Atenção curativa domiciliar
101030029;HC.1.4 ;Atenção curativa domiciliar
101040016;HC.6.5 ;Programas de controle de vigilância epidemiológica e de risco e doença
101040024;HC.6.4 ;Programas de monitoramento de populações saudáveis
101040032;HC.5.9 ;Atividades complementares à obtenção de produtos médicos e tecidos humanos
101040040;HC.5.9 ;Atividades complementares à obtenção de produtos médicos e tecidos humanos
101040059;HC.6.4 ;Programas de monitoramento de populações saudáveis
101040067;HC.6.4 ;Programas de monitoramento de populações saudáveis
101050011;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101050020;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101050038;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101050046;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101050054;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101050062;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101050070;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101050089;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101050097;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101050100;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101050119;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101050127;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101050135;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
101050143;HC.1.3.9 ;Atenção ambulatorial _praticas alternativas
102010013;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010021;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010030;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010048;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010056;HC.6.1 ;Programas de Informação, educação e aconselhamento
102010064;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010072;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010080;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010099;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010102;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010110;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010129;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010137;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010145;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010153;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010161;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010170;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010188;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010196;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010200;HC.6.5 ;Programas de controle de vigilância epidemiológica e de risco e doença
102010218;HC.6.5 ;Programas de controle de vigilância epidemiológica e de risco e doença
102010226;HC.6.1 ;Programas de Informação, educação e aconselhamento
102010234;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010242;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010250;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010269;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010277;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010285;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010293;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010307;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010315;HC.6.5 ;Programas de controle de vigilância epidemiológica e de risco e doença
102010323;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010331;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010340;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010358;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010366;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010374;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010382;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010390;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010404;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010412;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010420;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010439;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010447;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010455;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010463;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010471;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010480;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010498;HC.6.5 ;Programas de controle de vigilância epidemiológica e de risco e doença
102010501;HC.6.1 ;Programas de Informação, educação e aconselhamento
102010510;HC.6.1 ;Programas de Informação, educação e aconselhamento
102010528;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010536;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010544;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010552;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010560;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010579;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010587;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010595;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010609;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010617;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010625;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010633;HC.7 ;Governança, gestão e regulação do sistema de saúde
102010641;HC.6.5 ;Programas de controle de vigilância epidemiológica e de risco e doença
102010650;HC.6.5 ;Programas de controle de vigilância epidemiológica e de risco e doença
102010668;HC.6.5 ;Programas de controle de vigilância epidemiológica e de risco e doença
102020019;HC.6.4 ;Programas de monitoramento de populações saudáveis
102020027;HC.6.1 ;Programas de Informação, educação e aconselhamento
102020035;HC.7 ;Governança, gestão e regulação do sistema de saúde
201010011;HC.1.3.3 ;Atenção ambulatorial especializada
201010020;HC.1.3.3 ;Atenção ambulatorial especializada
201010038;HC.1.3.3 ;Atenção ambulatorial especializada
201010046;HC.1.3.3 ;Atenção ambulatorial especializada
201010054;HC.1.3.3 ;Atenção ambulatorial especializada
201010062;HC.1.3.3 ;Atenção ambulatorial especializada
201010070;HC.1.3.3 ;Atenção ambulatorial especializada
201010089;HC.1.3.3 ;Atenção ambulatorial especializada
201010097;HC.1.3.3 ;Atenção ambulatorial especializada
201010100;HC.1.3.3 ;Atenção ambulatorial especializada
201010119;HC.1.3.3 ;Atenção ambulatorial especializada
201010127;HC.1.3.3 ;Atenção ambulatorial especializada
201010135;HC.1.3.3 ;Atenção ambulatorial especializada
201010143;HC.1.3.3 ;Atenção ambulatorial especializada
201010151;HC.1.3.3 ;Atenção ambulatorial especializada
201010160;HC.1.3.3 ;Atenção ambulatorial especializada
201010178;HC.1.3.3 ;Atenção ambulatorial especializada
201010186;HC.1.3.3 ;Atenção ambulatorial especializada
201010194;HC.1.3.3 ;Atenção ambulatorial especializada
201010208;HC.1.3.3 ;Atenção ambulatorial especializada
201010216;HC.1.3.3 ;Atenção ambulatorial especializada
201010224;HC.1.3.3 ;Atenção ambulatorial especializada
201010232;HC.1.3.3 ;Atenção ambulatorial especializada
201010240;HC.1.3.3 ;Atenção ambulatorial especializada
201010259;HC.1.3.3 ;Atenção ambulatorial especializada
201010267;HC.1.3.3 ;Atenção ambulatorial especializada
201010275;HC.1.3.3 ;Atenção ambulatorial especializada
201010283;HC.1.3.3 ;Atenção ambulatorial especializada
201010291;HC.1.3.3 ;Atenção ambulatorial especializada
201010305;HC.1.3.3 ;Atenção ambulatorial especializada
201010313;HC.1.3.3 ;Atenção ambulatorial especializada
201010321;HC.1.3.3 ;Atenção ambulatorial especializada
201010330;HC.1.3.3 ;Atenção ambulatorial especializada
201010348;HC.1.3.3 ;Atenção ambulatorial especializada
201010356;HC.1.3.3 ;Atenção ambulatorial especializada
201010364;HC.1.3.3 ;Atenção ambulatorial especializada
201010372;HC.1.3.3 ;Atenção ambulatorial especializada
201010380;HC.1.3.3 ;Atenção ambulatorial especializada
201010399;HC.1.3.3 ;Atenção ambulatorial especializada
201010402;HC.1.3.3 ;Atenção ambulatorial especializada
201010410;HC.1.3.3 ;Atenção ambulatorial especializada
201010429;HC.1.3.3 ;Atenção ambulatorial especializada
201010437;HC.1.3.3 ;Atenção ambulatorial especializada
201010445;HC.1.3.3 ;Atenção ambulatorial especializada
201010453;HC.1.3.3 ;Atenção ambulatorial especializada
201010461;HC.1.3.3 ;Atenção ambulatorial especializada
201010470;HC.1.3.3 ;Atenção ambulatorial especializada
201010488;HC.1.3.3 ;Atenção ambulatorial especializada
201010496;HC.1.3.3 ;Atenção ambulatorial especializada
201010500;HC.1.3.3 ;Atenção ambulatorial especializada
201010518;HC.1.3.3 ;Atenção ambulatorial especializada
201010526;HC.1.3.3 ;Atenção ambulatorial especializada
201010534;HC.1.3.3 ;Atenção ambulatorial especializada
201010542;HC.1.3.3 ;Atenção ambulatorial especializada
201010550;HC.1.3.3 ;Atenção ambulatorial especializada
201010569;HC.1.3.3 ;Atenção ambulatorial especializada
201010577;HC.1.3.3 ;Atenção ambulatorial especializada
201010585;HC.1.3.3 ;Atenção ambulatorial especializada
201010593;HC.1.3.3 ;Atenção ambulatorial especializada
201010607;HC.1.3.3 ;Atenção ambulatorial especializada
201010615;HC.1.3.3 ;Atenção ambulatorial especializada
