"CODIGO_TUSS";"Termo_TUSS";"Grau_Equivalencia";"CODIGO_SUS";"PROCEDIMENTO_SUS"
"10102019";"Visita hospitalar (paciente internado)";"2";"301010170";"CONSULTA/AVALIAÇÃO EM PACIENTE INTERNADO"
"10103023";"Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de baixo risco)";"2";"310010020";"ATENDIMENTO AO RECEM-NASCIDO NO MOMENTO DO NASCIMENTO"
"10103031";"Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de alto risco)";"2";"310010020";"ATENDIMENTO AO RECEM-NASCIDO NO MOMENTO DO NASCIMENTO"
"10106014";"Aconselhamento genético";"1";"301010226";"ACONSELHAMENTO GENÉTICO"
"10106146";"Atendimento ambulatorial em puericultura";"2";"301010080";"CONSULTA P/ ACOMPANHAMENTO DE CRESCIMENTO E DESENVOLVIMENTO (PUERICULTURA)"
"20101210";"Acompanhamento clínico ambulatorial pós-transplante de córnea -por avaliação do 11º ao 30º dia até 3 avaliações";"2";"506010015";"ACOMPANHAMENTO DE PACIENTE POS-TRANSPLANTE DE CORNEA"
"20102011";"Holter de 24 horas - 2 ou mais canais - analógico";"2";"211020044";"MONITORAMENTO PELO SISTEMA HOLTER 24 HS (3 CANAIS)"
"20102020";"Holter de 24 horas - 3 canais - digital";"2";"211020044";"MONITORAMENTO PELO SISTEMA HOLTER 24 HS (3 CANAIS)"
"20102038";"Monitorização ambulatorial da pressão arterial - MAPA (24 horas)";"1";"211020052";"MONITORIZACAO AMBULATORIAL DE PRESSAO ARTERIAL"
"20104049";"Cateterismo vesical em retenção urinária";"2";"301100047";"CATETERISMO VESICAL DE ALIVIO"
"20104057";"Cauterização química vesical";"2";"309030030";"CAUTERIZACAO QUIMICA DE BEXIGA"
"20104065";"Cerumen - remoção (bilateral)";"2";"404010270";"REMOCAO DE CERUMEN DE CONDUTO AUDITIVO EXTERNO UNI / BILATERAL"
"20104111";"Dilatação uretral (sessão)";"2";"309030056";"DILATACAO DE URETRA (POR SESSAO)"
"20104120";"Fototerapia com UVA (PUVA) (por sessão)";"2";"303080116";"FOTOTERAPIA COM FOTOSSENSIBILIZAÇÃO (POR SESSAO)"
"20104200";"Sessão de psicoterapia de grupo (por paciente)";"1";"301080160";"ATENDIMENTO EM PSICOTERAPIA DE GRUPO"
"20104219";"Sessão de psicoterapia individual";"1";"301080178";"ATENDIMENTO INDIVIDUAL EM PSICOTERAPIA"
"20104340";"Cateterismo de canais ejaculadores";"1";"309030021";"CATETERISMO DE CANAIS EJACULADORES"
"20104359";"Massagem prostática";"1";"309030145";"MASSAGEM DE PROSTATA (POR SESSAO)"
"20104367";"Pneumoperitônio (por sessão)";"1";"407040218";"PNEUMOPERITONIO (POR SESSAO)"
"20202016";"Cardiotocografia anteparto";"1";"211040061";"TOCOCARDIOGRAFIA ANTE-PARTO"
"20204159";"Pulsoterapia intravenosa (por sessão) - hospitalar";"2";"303020016";"PULSOTERAPIA I (POR APLICACAO)"
"30101050";"Apêndice pré-auricular - ressecção";"2";"401020150";"TRATAMENTO CIRURGICO DO SINUS PRE-AURICULAR"
"30101069";"Autonomização de retalho - por estágio";"1";"413040011";"AUTONOMIZACAO DE RETALHO"
"30101093";"Calosidade e/ou mal perfurante - desbastamento (por lesão)";"1";"303080027";"DESBASTAMENTO DE CALOSIDADE E/OU MAL PERFURANTE (DESBASTAMENTO)"
"30101140";"Correção cirúrgica de linfedema (por estágio)";"2";"406020558";"TRATAMENTO CIRURGICO DE LINFEDEMA"
"30101298";"Eletrocoagulação de lesões de pele e mucosas - com ou sem curetagem (por grupo de até 5 lesões)";"2";"401010040";"ELETROCOAGULACAO DE LESAO CUTANEA"
"30101310";"Enxerto composto";"1";"401020010";"ENXERTO COMPOSTO"
"30101336";"Enxerto de pele (homoenxerto inclusive)";"2";"401020029";"ENXERTO DERMO-EPIDERMICO"
"30101352";"Epilação por eletrólise (por sessão)";"2";"405010052";"EPILACAO A LASER"
"30101360";"Escalpo  parcial  -  tratamento cirúrgico";"1";"401020126";"TRATAMENTO CIRURGICO DE ESCALPO PARCIAL"
"30101379";"Escalpo total - tratamento cirúrgico";"1";"401020134";"TRATAMENTO CIRURGICO DE ESCALPO TOTAL"
"30101492";"Exérese e sutura simples de pequenas lesões (por grupo de até 5 lesões)";"2";"401010066";"EXCISAO E/OU SUTURA SIMPLES DE PEQUENAS LESOES / FERIMENTOS DE PELE / ANEXOS E MUCOSA"
"30101506";"Exérese tangencial (shaving) - (por grupo de até 5 lesões)";"2";"401010120";"RETIRADA DE LESAO POR SHAVING"
"30101735";"Retirada de corpo estranho subcutâneo";"1";"401010112";"RETIRADA DE CORPO ESTRANHO SUBCUTANEO"
"30101743";"Retração cicatricial de axila - tratamento cirúrgico";"1";"413040186";"TRATAMENTO CIRURGICO DE RETRACAO CICATRICIAL DA AXILA"
"30101760";"Retração cicatricial do cotovelo - tratamento cirúrgico";"1";"413040194";"TRATAMENTO CIRURGICO DE RETRACAO CICATRICIAL DO COTOVELO"
"30101816";"Transferência intermediária de retalho";"1";"413040151";"TRANSFERENCIA INTERMEDIARIA DE RETALHO"
"30201055";"Excisão em cunha";"2";"404020100";"EXCISÃO EM CUNHA DE LÁBIO"
"30201080";"Reconstrução de sulco gengivo-labial";"1";"404020470";" RECONSTRUÇÃO DO SULCO GENGIVO-LABIAL"
"30202027";"Biópsia de boca";"2";"201010526";"BIÓPSIA DOS TECIDOS MOLES DA BOCA"
"30204011";"Biópsia de glândula salivar";"1";"201010232";"BIÓPSIA DE GLÂNDULA SALIVAR"
"30204038";"Exérese de rânula ou mucocele";"1";"404020089";"EXCISÃO DE RÂNULA OU FENÔMENO DE RETENÇÃO SALIVAR"
"30204046";"Parotidectomia parcial com conservação do nervo facial";"2";"404010466";"PAROTIDECTOMIA PARCIAL OU SUBTOTAL"
"30204100";"Ressecção de tumor de glândula sublingual";"2";"416030033";"RESSECÇÃO DE GLANDULA SUBLINGUAL EM ONCOLOGIA"
"30205018";"Abscesso faríngeo - qualquer área";"2";"404010059";"DRENAGEM DE ABSCESSO FARINGEO"
"30205034";"Adeno-amigdalectomia";"1";"404010032";"AMIGDALECTOMIA C/ ADENOIDECTOMIA"
"30205042";"Adenoidectomia";"1";"404010016";"ADENOIDECTOMIA"
"30205212";"Ressecção de tumor de nasofaringe via endoscópica";"2";"416030238";"RESSECCAO DE TUMOR DE RINOFARINGE EM ONCOLOGIA"
"30206120";"Laringectomia parcial";"1";"404010172";"LARINGECTOMIA PARCIAL"
"30206138";"Laringectomia total";"1";"404010180";"LARINGECTOMIA TOTAL"
"30206251";"Microcirurgia para ressecção de papiloma";"2";"404010113";"EXERESE DE PAPILOMA EM LARINGE"
"30207010";"Redução de fratura do malar (sem fixação)";"2";"404020666";"TRATAMENTO CIRÚRGICO DE FRATURA DO OSSO ZIGOMATICO SEM OSTEOSSÍNTESE"
"30207029";"Redução de fratura do malar (com fixação)";"2";"404020704";"OSTEOSSÍNTESE DA FRATURA DO OSSO ZIGOMÁTICO"
"30207061";"Fratura do arco zigomático - redução instrumental sem fixação";"2";"404020666";"TRATAMENTO CIRÚRGICO DE FRATURA DO OSSO ZIGOMATICO SEM OSTEOSSÍNTESE"
