proc_rea,NOME_PROC,CO_FINANCIAMENTO,FONTE,VALIDO,VALOR_2020,VALOR_2021,VALOR_2022
0101010010,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO PRIMÁRIA,01,PAB,ATUA,32.317599,35.568749,37.62818
0101010028,ATIVIDADE EDUCATIVA / ORIENTAÇÃO EM GRUPO NA ATENÇÃO ESPECIALIZADA,06,SIA,ATUA,2.7,2.7,2.7
0101010036,PRÁTICA CORPORAL / ATIVIDADE FÍSICA EM GRUPO,01,PAB,ATUA,31.37691,34.533427,36.532913
0101010044,PRÁTICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA,01,PAB,ATUA,38.308299,42.162113,44.6033
0101010052,TERAPIA COMUNITARIA,01,PAB,ATUA,31.37691,34.533427,36.532913
0101010060,DANÇA CIRCULAR/BIODANÇA,01,PAB,ATUA,31.37691,34.533427,36.532913
0101010079,YOGA,01,PAB,ATUA,38.308299,42.162113,44.6033
0101010087,OFICINA DE MASSAGEM/ AUTO-MASSAGEM,01,PAB,ATUA,31.37691,34.533427,36.532913
0101010095,PREVENÇÃO DA COVID-19 NAS ESCOLAS,01,PAB,ATUA,32.317599,35.568749,37.62818
0101020015,AÇÃO COLETIVA DE APLICAÇÃO TÓPICA DE FLÚOR GEL,01,PAB,ATUA,11.659586,12.83254,13.575544
0101020023,AÇÃO COLETIVA DE BOCHECHO FLUORADO,01,PAB,ATUA,11.498678,12.655445,13.388196
0101020031,AÇÃO COLETIVA DE ESCOVAÇÃO DENTAL SUPERVISIONADA,01,PAB,ATUA,10.619877,11.688237,12.364986
0101020040,AÇÃO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLÓGICA,01,PAB,ATUA,6.782859,7.465214,7.89745
0101020058,APLICAÇÃO DE CARIOSTÁTICO (POR DENTE),01,PAB,ATUA,19.160338,21.087868,22.308856
0101020066,APLICAÇÃO DE SELANTE (POR DENTE),01,PAB,ATUA,15.917438,17.518733,18.533067
0101020074,APLICAÇÃO TÓPICA DE FLÚOR (INDIVIDUAL POR SESSÃO),01,PAB,ATUA,13.219148,14.548994,15.391381
0101020082,EVIDENCIAÇÃO DE PLACA BACTERIANA,01,PAB,ATUA,14.654936,16.129222,17.063104
0101020090,SELAMENTO PROVISÓRIO DE CAVIDADE DENTÁRIA,01,PAB,ATUA,18.194895,20.025301,21.184766
0101020104,ORIENTAÇÃO DE HIGIENE BUCAL,01,PAB,ATUA,10.619877,11.688237,12.364986
